| Age               | Median |
| ----------------- | ------ |
| All ages          | 1648   |
| 2–11 months       | 815    |
| 1–2 years         | 1222   |
| 3–5 years         | 1480   |
| 6–11 years        | 1687   |
| 12–15 years       | 1907   |
| 16–19 years       | 1818   |
| 20–29 years       | 1861   |
| 30–39 years       | 1803   |
| 40–49 years       | 1706   |
| 50–59 years       | 1566   |
| 60–69 years       | 1473   |
| 70–79 years       | 1399   |
| 80 years and over | 1333   |
