Age,Median
"All ages",2319
"2–11 months",862
"1–2 years",1315
"3–5 years",1578
"6–11 years",2023
"12–15 years",2446
"16–19 years",2936
"20–29 years",2882
"30–39 years",2735
"40–4 9 years",2520
"50–59 years",2318
"60–69 years",2007
"70–79 years",1805
"80 years and over",1728
