Age,"Undetermined intent"
"All ages",230
"Under 1 year",-
"1-4 years",-
"5-9 years",2
"10-14 years",8
"15-19 years",26
"20-24 years",45
"25-29 years",32
"30-34 years",20
"35-39 years",18
"40-44 years",21
"45-49 years",9
"50-54 years",14
"55-59 years",12
"60-64 years",3
"65-69 years",7
"70-74 years",4
"75-79 years",5
"80-84 years",1
"85 years and over",2
"Age not stated",1
