Age,Number
"All ages",190
"Under 1 year",-
"1-4 years",-
"5-9 years",2
"10-14 years",7
"15-19 years",25
"20-24 years",37
"25-29 years",26
"30-34 years",17
"35-39 years",12
"40-44 years",18
"45-49 years",6
"50-54 years",12
"55-59 years",10
"60-64 years",1
"65-69 years",5
"70-74 years",4
"75-79 years",4
"80-84 years",1
"85 years and over",2
"Age not stated",1
