Age,Number
"All ages",40
"Under 1 year",-
"1-4 years",-
"5-9 years",-
"10-14 years",1
"15-19 years",1
"20-24 years",8
"25-29 years",6
"30-34 years",3
"35-39 years",6
"40-44 years",3
"45-49 years",3
"50-54 years",2
"55-59 years",2
"60-64 years",2
"65-69 years",2
"70-74 years",-
"75-79 years",1
"80-84 years",-
"85 years and over",-
"Age not stated",-
