| Age               | Mean |
| ----------------- | ---- |
| All ages          | 1676 |
| 2–11 months       | 602  |
| 1–2 years         | 872  |
| 3–5 years         | 1138 |
| 6–11 years        | 1256 |
| 12–15 years       | 1130 |
| 16–19 years       | 1182 |
| 20–29 years       | 1823 |
| 30–39 years       | 1818 |
| 40–49 years       | 1768 |
| 50–59 years       | 2021 |
| 60–69 years       | 2024 |
| 70–79 years       | 2045 |
| 80 years and over | 1893 |
