| live-birth order   | number |
| ------------------ | ------ |
| All                | 24494  |
| 1st child          | 22220  |
| 2nd child          | 2090   |
| 3rd child          | 123    |
| 4th child          | 4      |
| 5th child          | 2      |
| 6th child          | 3      |
| 7th child          | –      |
| 8th child and over | 1      |
| Not stated         | 51     |
