| live-birth order   | number |
| ------------------ | ------ |
| All                | 171674 |
| 1st child          | 144414 |
| 2nd child          | 23727  |
| 3rd child          | 2871   |
| 4th child          | 275    |
| 5th child          | 36     |
| 6th child          | 9      |
| 7th child          | 1      |
| 8th child and over | 4      |
| Not stated         | 337    |
