| live-birth order   | number  |
| ------------------ | ------- |
| All                | 1089281 |
| 1st child          | 331634  |
| 2nd child          | 372628  |
| 3rd child          | 213135  |
| 4th child          | 98191   |
| 5th child          | 40173   |
| 6th child          | 17331   |
| 7th child          | 7684    |
| 8th child and over | 6011    |
| Not stated         | 2494    |
