| live-birth order   | number |
| ------------------ | ------ |
| All                | 1787   |
| 1st child          | 1766   |
| 2nd child          | 19     |
| 3rd child          | –      |
| 4th child          | –      |
| 5th child          | –      |
| 6th child          | –      |
| 7th child          | –      |
| 8th child and over | –      |
| Not stated         | 2      |
