| live-birth order   | number |
| ------------------ | ------ |
| All                | 83120  |
| 1st child          | 65744  |
| 2nd child          | 14800  |
| 3rd child          | 2160   |
| 4th child          | 229    |
| 5th child          | 26     |
| 6th child          | 5      |
| 7th child          | –      |
| 8th child and over | 2      |
| Not stated         | 154    |
