| Age   | 5th  | 10th | 15th | 25th | 50th | 75th | 85th | 90th | 95th |
| ----- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- |
| 8–11  | 21   | 23.1 | 24.8 | 27.3 | 32.8 | 39.2 | 42.5 | 44.4 | 47.3 |
| 12–15 | 16.4 | 17.8 | 19.7 | 22.3 | 28   | 36   | 39.4 | 41.8 | 45.4 |
| 16–19 | 14.4 | 15.7 | 17.1 | 19.2 | 23.9 | 30.7 | 33.8 | 36   | 39.6 |
| 20–39 | 15.9 | 18.4 | 19.8 | 21.9 | 26.3 | 30.4 | 33.4 | 35   | 38.1 |
| 40–59 | 18.7 | 20.5 | 21.9 | 23.6 | 27   | 30.8 | 32.5 | 34   | 36.6 |
| 60–79 | 20.2 | 22.3 | 23.4 | 25.2 | 28.8 | 32.8 | 35.1 | 36.6 | 39.2 |
| 80+   | 21.7 | 23.4 | 24.5 | 26.7 | 29.9 | 33.8 | 35.7 | 36.9 | 39.2 |
| 20+   | 17.7 | 19.8 | 21.3 | 23.3 | 27.2 | 31.2 | 33.5 | 35.1 | 37.8 |
