Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",26.3,28.3,29.8,32.6,37.9,42.8,44.8,46.2,48.2
"12–15 years",26.3,28.5,30.5,33.3,37.7,42,44.3,45.9,48.8
"16–19 years",29.5,31.6,33.5,35.7,40.1,44,46.3,47.9,50.1
"20–39 years",30.9,33.2,34.9,37.4,42.1,46.4,48.6,49.9,51.9
"40–59 years",32.1,34.9,37.1,39.5,44,48.1,50.2,51.5,53.3
"60–79 years",34,36.8,38.5,40.8,45.2,49.4,51.5,52.7,54.5
"80 years and older",31.9,34.7,37.4,39.9,45.1,48.9,50.9,52.3,54.3
"20 years and older (crude)",31.9,34.6,36.3,39,43.5,47.9,50,51.3,53.4
