Age,"Standard deviation"
"7-74 years",23
"7-11 years",11.8
"12-17 years",13.7
"18-24 years",13.2
"25-34 years",13.7
"35-44 years",19.3
"45-54 years",22
"55-64 years",24.4
"65-74 years",25.3
