| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 20.6               |
| 7-11 years  | 11.7               |
| 12-17 years | 14.4               |
| 18-24 years | 13.2               |
| 25-34 years | 13.7               |
| 35-44 years | 15.1               |
| 45-54 years | 23.2               |
| 55-64 years | 20                 |
| 65-74 years | 2.48               |
