Age,"Standard deviation"
"7-74 years",21.9
"7-11 years",11.8
"12-17 years",14.1
"18-24 years",13.6
"25-34 years",14.5
"35-44 years",17.5
"45-54 years",22.6
"55-64 years",22.5
"65-74 years",25.3
