Age,Median
"All ages",6.1
"2–11 months",8.6
"1–2 years",5.1
"3–5 years",5.5
"6–11 years",5.4
"12–15 years",5.4
"16–19 years",6.1
"20–29 years",6.2
"30–39 years",6.6
"40–49 years",6.7
"50–59 years",6.6
"60–69 years",6.2
"70–79 years",6.3
"80 years and over",6.1
