Age,"Standard error"
"All ages",0.29
"2–11 months",0.38
"1–2 years",0.52
"3–5 years",0.43
"6–11 years",0.43
"12–15 years",0.61
"16–19 years",0.59
"20–29 years",0.54
"30–39 years",0.6
"40–49 years",0.59
"50–59 years",0.63
"60–69 years",0.53
"70–79 years",0.54
"80 years and over",0.54
