| Age   | Mean |
| ----- | ---- |
| 2     | 48   |
| 3     | 49.8 |
| 4     | 52.1 |
| 5     | 53.3 |
| 6     | 54.6 |
| 7     | 57.6 |
| 8     | 59.4 |
| 9     | 62.9 |
| 10    | 64.7 |
| 11    | 67.4 |
| 12    | 69.9 |
| 13    | 74   |
| 14    | 76.4 |
| 15    | 74.1 |
| 16    | 76.5 |
| 17    | 78.5 |
| 18    | 76.5 |
| 19    | 78.6 |
| 20+   | 88.6 |
| 20–29 | 80.5 |
| 30–39 | 86.4 |
| 40–49 | 89.7 |
| 50–59 | 94.4 |
| 60–69 | 94.5 |
| 70–79 | 93.6 |
| 80+   | 91.7 |
