Age,Mean
"2 years",47.9
"3 years",49.8
"4 years",51.4
"5 years",53
"6 years",55.7
"7 years",57.4
"8 years",60
"9 years",63.3
"10 years",65.1
"11 years",68.7
"12 years",72.2
"13 years",73
"14 years",77.4
"15 years",78.7
"16 years",78.3
"17 years",81
"18 years",80.2
"19 years",82.1
"20 years and older",95.2
"20–29 years",87.6
"30–39 years",93.6
"40–49 years",97.7
"50–59 years",100.5
"60–69 years",101.6
"70–79 years",100.1
"80 years and older",97.6
