Age,"Standard error"
"3–5 months",0.12
"6–8 months",0.12
"9–11 months",0.12
"1 year",0.08
"2 years",0.08
"3 years",0.13
"4 years",0.11
"5 years",0.13
"6 years",0.28
"7 years",0.24
"8 years",0.31
"9 years",0.34
"10 years",0.34
"11 years",0.38
"12 years",0.45
"13 years",0.49
"14 years",0.78
"15 years",0.51
"16 years",0.5
"17 years",0.51
"18 years",0.55
"19 years",0.52
"20 years and older",0.09
"20–29 years",0.14
"30–39 years",0.15
"40–49 years",0.15
"50–59 years",0.18
"60–69 years",0.15
"70–79 years",0.17
"80 years and older",0.19
