| Age          | Mean  |
| ------------ | ----- |
| 7-74 years   | 127.7 |
| 7-11 years   | 107.4 |
| 12-17 years  | 114.5 |
| 18-24 years  | 116.3 |
| 25-34 years  | 119   |
| 35-44 years  | 127.2 |
| 45-54 years  | 140.7 |
| 55-64 years  | 147.8 |
| 65-74 years  | 155.8 |
| Age-adjusted | 127   |
