Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",29103,5.2,0.08,4,10696,4.6,0.1,3.6,15770,5.4,0.1,4.2
"Under 6 years",6871,3,0.07,2.5,3145,3,0.1,2.5,3128,3,0.08,2.6
"6–11 years",3134,4.9,0.12,4.2,1446,4.6,0.18,3.9,1439,5,0.16,4.3
"12–19 years",3119,6.2,0.15,5,1345,6,0.25,4.5,1469,6.2,0.19,5.1
"20–59 years",10940,5.6,0.1,4.3,3329,5,0.18,3.9,6710,5.8,0.12,4.5
"60 years and over",5039,4.3,0.08,3.3,1431,3.7,0.12,2.9,3024,4.5,0.1,3.5
