Age,"Sample size",Mean,"Standard error",5th,25th,50th,75th,95th
"18 years and over, age-adjusted",10142,124,0.3,102,113,121,131,152
"18–39 years",4021,119,0.3,101,111,117,125,138
"40–59 years",2924,124,0.4,103,114,122,132,151
"60 years and over",3197,133,0.5,103,119,131,144,169
