Age,"Standard error"
"2 years",0.02
"3 years",0.02
"4 years",0.02
"5 years",0.02
"6 years",0.04
"7 years",0.04
"8 years",0.05
"9 years",0.04
"10 years",0.04
"11 years",0.05
"12 years",0.05
"13 years",0.06
"14 years",0.07
"15 years",0.06
"16 years",0.05
"17 years",0.05
"18 years",0.06
"19 years",0.05
"20 years and older",0.01
"20–29 years",0.02
"30–39 years",0.02
"40–49 years",0.02
"50–59 years",0.03
"60–69 years",0.02
"70–79 years",0.03
"80 years and older",0.03
