Age,"Standard error"
"All ages",1.1
"2–11 months",0.8
"1–2 years",0.9
"3–5 years",1.4
"6–11 years",1.6
"12–15 years",2.9
"16–19 years",3.2
"20–29 years",3.1
"30–39 years",2.2
"40–49 years",3.3
"50–59 years",2
"60–69 years",2.8
"70–79 years",2.1
"80 years and over",2
