Age,Number
"All ages",2132
"Under 1 year",...
"1-4 years",...
"5-9 years",-
"10-14 years",20
"15-19 years",104
"20-24 years",120
"25-29 years",139
"30-34 years",191
"35-39 years",266
"40-44 years",268
"45-49 years",228
"50-54 years",221
"55-59 years",147
"60-64 years",118
"65-69 years",93
"70-74 years",79
"75-79 years",61
"80-84 years",45
"85 years and over",32
"Age not stated",-
