Age,Mean
"8–11 years",0.87
"12–15 years",1.075
"16–19 years",1.134
"20–29 years",1.145
"30–39 years",1.147
"40–49 years",1.148
"50–59 years",1.109
"60–69 years",1.061
"70–79 years",0.987
"80 years and over",0.912
"20 years and over (age-adjusted)",1.108
