Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",*,16.5,17,17.5,18.6,20,20.7,21.3,*
"3 years",18.5,19.2,19.7,20.2,21.5,22.7,23.4,24,24.5
"4 years",*,21,21.5,22.1,23.4,24.6,25.5,26.1,*
"5 years",*,23.2,23.7,24.3,25.4,27.1,27.8,28.3,*
"6 years",*,*,25,25.7,27.4,29,29.8,*,*
"7 years",*,*,26.6,27.2,28.8,30.2,31.2,*,*
"8 years",*,*,28.8,29.8,30.9,33.3,34.2,*,*
"9 years",*,*,30.5,31.1,32.6,34.1,35.2,*,*
"10 years",*,*,32.5,33.2,34.4,36.5,37.8,*,*
"11 years",*,*,34.1,35.1,36.6,38.2,39.5,*,*
"12 years",*,*,35.3,36.1,38.3,40.8,41.8,*,*
"13 years",*,*,37.1,38.1,39.6,41.8,43.2,*,*
"14 years",*,*,37.4,37.8,39.5,41.6,43.6,*,*
"15 years",*,*,37,38.4,40,42,43.4,*,*
"16 years",*,*,37.4,38.4,40.3,41.7,42.7,*,*
"17 years",*,*,37.1,38.5,40.9,42,43.2,*,*
"18 years",*,*,*,38.1,39.7,42.1,*,*,*
"19 years",*,*,*,38.6,40.8,42,*,*,*
"20 years and older",33,34.4,35.4,36.6,38.7,40.9,42,42.6,43.9
"20–29 years",34.5,35.9,36.5,37.5,39.7,41.8,42.9,43.7,44.7
"30–39 years",34.7,35.9,36.6,37.6,39.4,41.2,42.4,43.1,44.4
"40–49 years",33.5,35.1,36,37.1,39,41,41.8,42.4,43.6
"50–59 years",32.3,34.1,34.7,36,38,40.1,41.2,42,42.9
"60–69 years",32,33,34,35.3,37.4,39.4,40.5,41.2,42.3
"70–79 years",31.5,32.4,33.3,34.6,37,39.1,40.2,41,42
"80 years and older",31.5,32.8,33.6,34.6,36.8,38.7,40.1,40.9,42.5
