"Cause of death (both sexes, 55–64 years)","Percent"
"All causes",100
"Malignant neoplasms",29.8
"Diseases of heart",21.6
"Accidents (unintentional injuries)",6.6
"Chronic lower respiratory diseases",5
"Diabetes mellitus",4.1
"Chronic liver disease and cirrhosis",3.8
"Cerebrovascular diseases",3.4
"Intentional self-harm (suicide)",2.2
"Nephritis, nephrotic syndrome and nephrosis",1.6
Septicemia,1.5
"All other causes",20.3
