Age,"Sample size"
"2 years",530
"3 years",490
"4 years",541
"5 years",488
"6 years",279
"7 years",268
"8 years",262
"9 years",275
"10 years",293
"11 years",279
"12 years",202
"13 years",182
"14 years",186
"15 years",181
"16 years",192
"17 years",191
"18 years",168
"19 years",162
"20 years and older",7405
"20–29 years",1579
"30–39 years",1434
"40–49 years",1170
"50–59 years",816
"60–69 years",1101
"70–79 years",774
"80 years and older",531
