Age,"Sample size"
"2 years",518
"3 years",567
"4 years",528
"5 years",556
"6 years",274
"7 years",270
"8 years",245
"9 years",273
"10 years",255
"11 years",267
"12 years",233
"13 years",217
"14 years",219
"15 years",193
"16 years",208
"17 years",209
"18 years",185
"19 years",185
"20 years and older",8337
"20–29 years",1802
"30–39 years",1783
"40–49 years",1295
"50–59 years",958
"60–69 years",1078
"70–79 years",857
"80 years and older",564
