| Age   | Sample size |
| ----- | ----------- |
| 2     | 518         |
| 3     | 567         |
| 4     | 528         |
| 5     | 556         |
| 6     | 274         |
| 7     | 270         |
| 8     | 245         |
| 9     | 273         |
| 10    | 255         |
| 11    | 267         |
| 12    | 233         |
| 13    | 217         |
| 14    | 219         |
| 15    | 193         |
| 16    | 208         |
| 17    | 209         |
| 18    | 185         |
| 19    | 185         |
| 20+   | 8337        |
| 20–29 | 1802        |
| 30–39 | 1783        |
| 40–49 | 1295        |
| 50–59 | 958         |
| 60–69 | 1078        |
| 70–79 | 857         |
| 80+   | 564         |
