Age,"Standard error"
"All ages",0.01
"2–11 months",0.01
"1–2 years",0.01
"3–5 years",0.02
"6–11 years",0.02
"12–15 years",0.03
"16–19 years",0.03
"20–29 years",0.03
"30–39 years",0.02
"40–49 years",0.03
"50–59 years",0.03
"60–69 years",0.02
"70–79 years",0.02
"80 years and over",0.02
