| Age   | 5th    | 10th   | 15th   | 25th   | 50th   | 75th   | 85th   | 90th   | 95th   |
| ----- | ------ | ------ | ------ | ------ | ------ | ------ | ------ | ------ | ------ |
| 8–11  | 48.22  | 52.15  | 55.47  | 59.94  | 71.26  | 85.48  | 93.48  | 101.27 | 112.37 |
| 12–15 | 76.09  | 85.82  | 92.65  | 106.07 | 138.26 | 176.21 | 192.13 | 202.2  | 220.96 |
| 16–19 | 147.86 | 160.69 | 168.48 | 182.73 | 207.16 | 235.82 | 252.59 | 262.38 | 278.46 |
| 20–29 | 169.47 | 183.03 | 192.03 | 203.6  | 227.78 | 254.66 | 270.29 | 282.21 | 297.39 |
| 30–39 | 177.39 | 187.08 | 196.85 | 208.51 | 232.65 | 261.99 | 276.14 | 286.99 | 307.19 |
| 40–49 | 180.45 | 193.14 | 202    | 214.61 | 239.05 | 264.13 | 281.05 | 290.6  | 305.22 |
| 50–59 | 173.17 | 188.31 | 197.52 | 210.27 | 234.4  | 261.53 | 276.89 | 287.73 | 301.38 |
| 60–69 | 169.78 | 181.58 | 192.01 | 205.23 | 230.18 | 256.01 | 271.55 | 282.88 | 300.22 |
| 70–79 | 156.91 | 170.6  | 178.62 | 192.73 | 219.23 | 245.55 | 260    | 271.44 | 286.92 |
| 80+   | 140.69 | 154.31 | 162.57 | 174.62 | 198.56 | 225.49 | 244.53 | 255.6  | 270.48 |
