Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",45.87,49.8,53.86,58.96,70.72,87.9,98.5,106.92,116.88
"12–15 years",82.86,93.59,99.81,109.44,125.77,144.12,155.35,162.79,173.84
"16–19 years",108.22,116.73,121.8,130.83,146.76,163.06,173.29,180.31,194.18
"20–29 years",116.89,124.47,129.47,137.66,154.78,171.48,181.54,189.09,200.62
"30–39 years",123.59,130.4,134.23,142.05,158.52,176.44,186.22,194.02,207.06
"40–49 years",123.97,130.53,134.93,144.72,161.82,179.06,188.84,195.36,207.19
"50–59 years",115.52,122.67,128.13,137.7,153.77,172.02,183.72,188.8,198.61
"60–69 years",103.19,111.36,117.62,127.09,144.52,163.46,173.36,179.9,193.78
"70–79 years",92.86,100.47,106.24,113.1,131.23,149.59,157.61,166.83,177.55
"80 years and over",70.63,81.23,89.7,97.79,113.59,131.68,141.28,148.84,160.33
