Age,Median
"All ages",2874
"2–11 months",–
"1–2 years",1174
"3–5 years",2871
"6–11 years",3483
"12–15 years",5118
"16–19 years",5179
"20–29 years",5102
"30–39 years",3610
"40–49 years",2141
"50–59 years",1815
"60–69 years",1316
"70–79 years",1543
"80 years and over",819
