Age,"Standard error"
"2 years",0.18
"3 years",0.17
"4 years",0.18
"5 years",0.19
"6 years",0.29
"7 years",0.33
"8 years",0.38
"9 years",0.32
"10 years",0.35
"11 years",0.36
"12 years",0.48
"13 years",0.43
"14 years",0.44
"15 years",0.44
"16 years",0.42
"17 years",0.39
"18 years",0.49
"19 years",0.54
"20 years and older",0.07
"20–29 years",0.14
"30–39 years",0.13
"40–49 years",0.17
"50–59 years",0.2
"60–69 years",0.19
"70–79 years",0.22
"80 years and older",0.27
