Age,"Standard error"
"2 years",0.14
"3 years",0.17
"4 years",0.16
"5 years",0.19
"6 years",0.29
"7 years",0.31
"8 years",0.3
"9 years",0.32
"10 years",0.38
"11 years",0.34
"12 years",0.43
"13 years",0.42
"14 years",0.41
"15 years",0.45
"16 years",0.41
"17 years",0.38
"18 years",0.46
"19 years",0.38
"20 years and older",0.08
"20–29 years",0.15
"30–39 years",0.16
"40–49 years",0.17
"50–59 years",0.2
"60–69 years",0.19
"70–79 years",0.22
"80 years and older",0.26
