Age,"Standard error of the mean"
"7-74 years",0.55
"7-11 years",1.32
"12-17 years",1.24
"18-24 years",0.84
"25-34 years",1.54
"35-44 years",1.16
"45-54 years",2.09
"55-64 years",0.91
"65-74 years",0.71
