Age,"Standard error of the mean"
"7-74 years",0.85
"7-11 years",1.83
"12-17 years",1.38
"18-24 years",1.13
"25-34 years",3.3
"35-44 years",2.45
"45-54 years",2.75
"55-64 years",2.17
"65-74 years",1.05
