Age,Mean
"2 years",18.5
"3 years",21.2
"4 years",23.2
"5 years",25.2
"6 years",27.5
"7 years",29.5
"8 years",31.1
"9 years",33
"10 years",34.4
"11 years",35.9
"12 years",38.6
"13 years",39.8
"14 years",42
"15 years",43.2
"16 years",43.6
"17 years",44.7
"18 years",44.5
"19 years",43.5
"20 years and older",42.3
"20–29 years",43.2
"30–39 years",43.1
"40–49 years",42.2
"50–59 years",41.7
"60–69 years",41
"70–79 years",40.6
"80 years and older",40.1
