Age,Mean
"8–11 years",34.9
"12–15 years",35
"16–19 years",37.7
"20–39 years",40.9
"40–59 years",44.3
"60–79 years",47.1
"80 years and older",45.2
"20 years and older (crude)",43.7
"20 years and older (age adjusted)",43.5
