Age,Mean
"8–11 years",30.2
"12–15 years",25.3
"16–19 years",21.3
"20–39 years",23.4
"40–59 years",26
"60–79 years",29.2
"80 years and older",30.5
"20 years and older (crude)",25.6
"20 years and older (age adjusted)",25.8
