Age,"Standard deviation"
"7-74 years",24.1
"7-11 years",12
"12-17 years",12.9
"18-24 years",12.4
"25-34 years",14.2
"35-44 years",20.1
"45-54 years",24.3
"55-64 years",28.9
"65-74 years",23.7
