| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 22.4               |
| 7-11 years  | 11.9               |
| 12-17 years | 13.3               |
| 18-24 years | 13.5               |
| 25-34 years | 15.1               |
| 35-44 years | 18.3               |
| 45-54 years | 22.4               |
| 55-64 years | 25.6               |
| 65-74 years | 24.3               |
