Age,"Standard deviation"
"7-74 years",20.5
"7-11 years",11.7
"12-17 years",13.4
"18-24 years",12.1
"25-34 years",14.6
"35-44 years",15.7
"45-54 years",20.4
"55-64 years",20.9
"65-74 years",24.8
