| Age                | Mean  |
| ------------------ | ----- |
| 8–11               | 34.82 |
| 12–15              | 47.37 |
| 16–19              | 50.34 |
| 20–29              | 50.87 |
| 30–39              | 50.84 |
| 40–49              | 51.62 |
| 50–59              | 50.44 |
| 60–69              | 48.51 |
| 70–79              | 47.7  |
| 80+                | 45.26 |
| 20+ (age-adjusted) | 50.19 |
