Age,"Standard error"
"All ages",0.19
"2–11 months",0.19
"1–2 years",0.17
"3–5 years",0.26
"6–11 years",0.29
"12–15 years",0.78
"16–19 years",0.77
"20–29 years",0.45
"30–39 years",0.41
"40–49 years",0.49
"50–59 years",0.51
"60–69 years",0.42
"70–79 years",0.36
"80 years and over",0.4
