Age,"Standard error"
"7-17 years (education : head of the household)",0.57
"7-11 years (education : head of the household)",0.78
"12-17 years (education : head of the household)",0.73
"18-74 years",0.51
"18-24 years",0.56
"25-34 years",0.55
"35-44 years",0.83
"45-54 years",1.13
"55-64 years",0.94
"65-74 years",1.09
