Age,"Standard deviation"
Birth,2.32
"2 months",1.42
"3 months",1.15
"4 months",1.12
"5 months",1.58
"6 months",1.39
"7 months",1.44
"8 months",1.44
"9 months",1.2
"10 months",1.33
"11 months",1.46
"12–14 months",1.5
"15–17 months",1.36
"18–20 months",1.37
"21–23 months",1.71
"24–29 months",1.49
"30–35 months",1.68
