Age,"Standard deviation"
Birth,1.76
"2 months",1.19
"3 months",1.16
"4 months",1.65
"5 months",1.14
"6 months",1.29
"7 months",1.53
"8 months",1.54
"9 months",1.13
"10 months",1.24
"11 months",1.24
"12–14 months",1.4
"15–17 months",1.47
"18–20 months",1.54
"21–23 months",1.69
"24–29 months",1.51
"30–35 months",1.63
