Age,"Sample size",Mean,"Standard error",5th,25th,50th,75th,95th
"18 years and over, age-adjusted",2471,129,0.7,104,120,133,148,177
"18–39 years",96,123,1.5,99,114,123,130,148
"40–59 years",662,129,0.9,101,115,127,140,164
"60 years and over",1713,141,0.6,109,125,138,155,183
