Age,"Sample size",Mean,"Standard error",5th,25th,50th,75th,95th
"18 years and over, age-adjusted",2132,130,0.6,105,119,130,141,168
"18–39 years",102,127,1.2,107,119,125,133,148
"40–59 years",577,129,0.7,104,118,127,139,161
"60 years and over",1453,135,0.7,105,120,133,146,172
