Age,"Sample size",Mean,"Standard error",5th,25th,50th,75th,95th
"18 years and over, age-adjusted",2132,77,0.6,52,65,74,83,95
"18–39 years",102,79,1.2,62,72,76,85,101
"40–59 years",577,79,0.6,58,70,79,86,97
"60 years and over",1453,69,0.5,48,60,69,77,90
