Age,Number
"all ages",275264999
"Less than 1 year",3847481
"1–4 years",15149281
"5–9 years",19779125
"10–14 years",19895072
"15–19 years",19882596
"20–24 years",18484615
"25–34 years",37430950
"35–44 years",44892363
"45–54 years",37153085
"55–64 years",23973674
"65 years and over",34776757
"65–74 years",18167533
"75–84 years",12313503
"85 years and over",4295721
