| Age      | Number    |
| -------- | --------- |
| all ages | 134625673 |
| 0-1      | 1965047   |
| 1–4      | 7742402   |
| 5–9      | 10120590  |
| 10–14    | 10188863  |
| 15–19    | 10217726  |
| 20–24    | 9418213   |
| 25–34    | 18600126  |
| 35–44    | 22307460  |
| 45–54    | 18170795  |
| 55–64    | 11434023  |
| 65+      | 14460428  |
| 65–74    | 8203957   |
| 75–84    | 4963264   |
| 85+      | 1293207   |
