| Age      | Number    |
| -------- | --------- |
| all ages | 275264999 |
| 0-1      | 3847481   |
| 1–4      | 15149281  |
| 5–9      | 19779125  |
| 10–14    | 19895072  |
| 15–19    | 19882596  |
| 20–24    | 18484615  |
| 25–34    | 37430950  |
| 35–44    | 44892363  |
| 45–54    | 37153085  |
| 55–64    | 23973674  |
| 65+      | 34776757  |
| 65–74    | 18167533  |
| 75–84    | 12313503  |
| 85+      | 4295721   |
