| Age      | Number    |
| -------- | --------- |
| all ages | 140639326 |
| 0-1      | 1882434   |
| 1–4      | 7406879   |
| 5–9      | 9658535   |
| 10–14    | 9706209   |
| 15–19    | 9664870   |
| 20–24    | 9066402   |
| 25–34    | 18830824  |
| 35–44    | 22584903  |
| 45–54    | 18982290  |
| 55–64    | 12539651  |
| 65+      | 20316329  |
| 65–74    | 9963576   |
| 75–84    | 7350239   |
| 85+      | 3002514   |
