Age,Number
"All ages",270
"Under 1 year",-
"1-4 years",-
"5-9 years",-
"10-14 years",3
"15-19 years",27
"20-24 years",45
"25-29 years",47
"30-34 years",32
"35-39 years",40
"40-44 years",29
"45-49 years",26
"50-54 years",7
"55-59 years",5
"60-64 years",2
"65-69 years",2
"70-74 years",3
"75-79 years",1
"80-84 years",-
"85 years and over",1
"Age not stated",-
