Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",13923,62,1.5,48,4929,56,2.1,42,7770,64,1.6,50
"Under 6 years",3410,36,0.9,30,1564,36,1.6,29,1548,37,1.3,32
"6–11 years",1581,61,1.9,52,713,61,3.8,56,746,62,2.4,52
"12–19 years",1462,76,2.8,59,634,74,5.2,56,674,79,3.5,62
"20–59 years",5019,68,2.2,51,1390,59,3.5,43,3226,69,2.2,52
"60 years and over",2451,49,1.4,38,628,41,2.1,31,1576,50,1.8,39
