Age,"Sample size",Mean,"Standard error",5th,25th,50th,75th,95th
"18 years and over, age-adjusted",4603,130,0.5,105,119,131,145,173
"18–39 years",198,125,0.9,101,117,125,132,148
"40–59 years",1239,129,0.6,102,116,127,139,163
"60 years and over",3166,139,0.5,107,123,136,150,180
