| Age               | Median |
| ----------------- | ------ |
| All ages          | 33.8   |
| 2–11 months       | 38.2   |
| 1–2 years         | 33.7   |
| 3–5 years         | 32.8   |
| 6–11 years        | 33.6   |
| 12–15 years       | 33.4   |
| 16–19 years       | 34.2   |
| 20–29 years       | 33.7   |
| 30–39 years       | 34.6   |
| 40–49 years       | 34.6   |
| 50–59 years       | 34.1   |
| 60–69 years       | 32.5   |
| 70–79 years       | 32.3   |
| 80 years and over | 32     |
