Age,Median
"All ages",34.1
"2–11 months",37.9
"1–2 years",33.2
"3–5 years",33.1
"6–11 years",33.9
"12–15 years",33.3
"16–19 years",34.1
"20–29 years",34.3
"30–39 years",35
"40–49 years",34.2
"50–59 years",35.2
"60–69 years",33
"70–79 years",33.6
"80 years and over",33.2
